景点名称,景区评级,地点,标签列表,热度值,评分,评价数量
信阳何家寨露营基地,,信阳,,3.0,,
灵山寺,,罗山,历史建筑,3.0,4,4条点评
天龙池景区,,鲁山,"山清水秀、四季如画, 遛娃宝藏地",3.0,4,49条点评
龙门桥,,洛阳,"连接龙门东西两山的地标, 地标观景",3.0,4.6,152条点评
豫龙滑雪场,,荥阳,"俄罗斯同款造雪机, 遛娃宝藏地",2.9,3.3,47条点评
豫龙滑雪场,,荥阳,"俄罗斯同款造雪机, 遛娃宝藏地",2.9,3.3,47条点评
清明上河图展示馆,,开封,夜游观景,3.0,5,1条点评
伏牛地下河,,西峡,"探访神秘的地下河洞, 自然山水",3.0,4.2,80条点评
南阳市博物馆,,南阳,"收藏丰富专业技术力量雄厚, 博物馆&展馆",3.0,4.2,29条点评
大熊山摘星楼风景区,,登封,"主峰海拔1060米, 登高爬山",3.0,4,67条点评
黄河博物馆,,郑州,"国内唯一黄河主题博物馆, 博物馆&展馆",3.0,4.8,156条点评
当阳峪滑雪场,,修武,"设有采摘区, 主题乐园&游乐场",2.9,3.9,49条点评
南阳海洋馆,,南阳,动物园&水族馆,3.0,4.4,13条点评
SoReal洛阳·未来城科幻乐园,,洛阳,城市漫步,3.0,5,40条点评
白云寺,,民权,"因夏秋有白云缭绕而得名, 历史建筑",3.0,4.7,89条点评
道口古镇,4A,滑县,"依运河而建，烧鸡闻名, 古镇古村",3.0,4.4,82条点评
道口古镇,4A,滑县,"依运河而建，烧鸡闻名, 古镇古村",3.0,4.4,82条点评
香堤湾亲子温泉,,荥阳,"陪孩子玩水的亲子度假乐园, 遛娃宝藏地",3.0,4.8,524条点评
商丘市日月湖景区,4A,商丘,夜游观景,3.0,4.8,6条点评
洛阳考古博物馆,,洛阳,博物馆&展馆,3.0,4.3,8条点评
封门村,,沁阳,,3.0,4.6,66条点评
百泉湖风景区,,辉县,"观赏古园林建筑群, 自然山水",3.0,3.6,72条点评
双龙湾景区,4A,卢氏,"拥有十六大自然、人文秘景, 登高爬山",3.0,4.4,117条点评
室外武术表演,,登封,,3.0,5,1条点评
红岩大峡谷,,辉县,峡谷岩石色泽赤红,3.0,5,23条点评
南湾水库猴岛,,信阳,,2.9,4.5,2条点评
达摩洞,4A,登封,"天然石洞，洞内有达摩雕像, 自然山水",2.9,4.2,76条点评
达摩洞,,登封,"天然石洞，洞内有达摩雕像, 自然山水",2.9,4.2,76条点评
中原河上街第十三届灯展,,漯河,夜游观景,2.8,,
油化厂游园,,郑州,,2.9,4,1条点评
郑州科技馆,,郑州,博物馆&展馆,2.9,5,5条点评
伏牛山世界地质公园,,内乡,"近距离参观恐龙蛋化石群, 登高爬山",2.9,3.8,23条点评
思念果岭悦温泉,,郑州,"庭院配有室外专属汤池, 遛娃宝藏地",2.9,4.1,36条点评
钟鼓楼亲子乐园,4A,光山,儿童乐园,2.9,4.6,7条点评
灵泉寺石窟,,安阳,历史建筑,2.9,5,1条点评
西河湾古村,,信阳,古镇古村,2.9,1,1条点评
文峰塔,,许昌,"建于明万历42年, 历史建筑",2.9,4.8,49条点评
汤河裸浴温泉度假区,,卢氏,"四周环境十分清幽秀美, 泡温泉",2.9,3.2,16条点评
汤河裸浴温泉度假区,,卢氏,"四周环境十分清幽秀美, 泡温泉",2.9,3.2,16条点评
海滩街,,郑州,城市漫步,2.9,2.5,2条点评
郑国车马坑景区,,新郑,"访郑韩故城，读春秋战国, 历史建筑",2.9,4.5,85条点评
中华梦幻谷,,汤阴,"融入华夏传统文化的游乐园, 遛娃宝藏地",2.9,4.1,110条点评
河南博物院-主展馆,,郑州,博物馆&展馆,2.9,5,4条点评
新县郭家河省级湿地公园(河南信阳),,新县,自然山水,2.9,5,2条点评
牡丹广场,,洛阳,"设计新颖、格调高雅, 地标观景",2.9,4.5,89条点评
丁李塆,,新县,"粉墙瓦黛，徽派水乡风情, 历史建筑",2.9,4.2,6条点评
荆紫关镇,,淅川,"逛青石老街，赏明清建筑, 古镇古村",2.9,4.6,140条点评
朱仙镇启封古城,,开封,夜游观景,2.9,5,5条点评
汉魏故城,,洛阳,"东汉到北魏留存的都城遗址, 历史建筑",2.9,3.9,35条点评
汉魏故城,,洛阳,"东汉到北魏留存的都城遗址, 历史建筑",2.9,3.9,35条点评
少林寺碑林,,登封,唐宋的原始碑刻,2.9,4.6,274条点评
汉画馆,,南阳,"观赏丰富的汉代石刻艺术品, 博物馆&展馆",2.9,4.9,144条点评
WACGW玩承郑州次元鹿角动漫游戏节,,郑州,,2.9,,
旅游年票办理点,,伊川,,2.9,,
黄龙井观光车换乘站,,嵩县,,2.9,,
石板岩太行画谷旅游度假区,,林州,夜游观景,2.9,5,1条点评
二里头国家考古遗址公园,,洛阳,,2.9,5,1条点评
泉瀑峡,,修武,"山雄水秀，峰高瀑急, 自然山水",2.9,4.5,235条点评
郑州黄河风景名胜区-大禹山景区,,郑州,,2.9,5,2条点评
洛阳木札岭滑雪场,,嵩县,遛娃宝藏地,2.7,3.5,22条点评
洛阳木札岭滑雪场,,嵩县,遛娃宝藏地,2.7,3.5,22条点评
郑州二七纪念堂,,郑州,需提前预约,2.9,4,6条点评
神牛大峡谷,,鲁山,"山岭峻拔，红色旅游景区, 遛娃宝藏地",2.9,4.4,19条点评
万仙山景区-观景台,,辉县,"欣赏大峡谷的壮阔与雄奇, 地标观景",2.9,4.8,26条点评
巩义大峡谷漂流,,巩义,近两年重开,2.9,4.6,8条点评
陕州地坑院民俗文化园,,三门峡,,2.9,4.4,7条点评
Starry Castle视觉重塑魔法空间,,郑州,"仿佛进入魔法的世界, 展馆展览",2.9,4.7,236条点评
大鸿寨滑雪场,,禹州,户外滑雪,2.7,1.5,6条点评
李家村剧场,,中牟,,2.9,4,1条点评
洛水昌谷,,宜阳,地标观景,2.9,2.8,6条点评
大熊山仙人谷,4A,登封,"相传尧帝故里的世外桃源, 遛娃宝藏地",2.9,4,208条点评
大熊山仙人谷,4A,登封,"相传尧帝故里的世外桃源, 遛娃宝藏地",2.9,4,208条点评
信阳采茶,,信阳,,2.9,4.8,4条点评
汉梁文化公园,,商丘,"汉代梁国文化为主的千亩园, 夜游观景",2.9,4.9,12条点评
黄河花园口旅游区,,郑州,"观六面碑亭，赏大河风光, 自然山水",2.9,3.9,59条点评
张巡祠,,商丘,,2.9,4.2,108条点评
小马高原,,新密,,2.9,3.9,19条点评
河南博物院华夏古乐团,,郑州,,2.9,,
香严寺,4A,淅川,历史建筑,2.9,4.2,67条点评
鄂豫皖苏区首府革命博物馆,4A,新县,博物馆&展馆,2.9,,93条点评
宝泉游龙湾,,辉县,,2.9,5,1条点评
洛阳红山欢乐谷国际旅游度假区,4A,洛阳,"有樱桃采摘、鸟园、游乐场, 度假村",2.9,4.3,20条点评
洛阳红山欢乐谷国际旅游度假区,,洛阳,"有樱桃采摘、鸟园、游乐场, 度假村",2.9,4.3,20条点评
茶岛,,信阳,"观千亩茶园，赏山林湖泊, 自然山水",2.9,4.8,35条点评
郑州美术馆,,郑州,特色展馆,2.9,4.3,24条点评
河南省夜间文旅消费集聚区,,内乡,,2.9,,
翡翠丽池温泉养生中心,,三门峡,"自驾便利的综合度假地, 遛娃宝藏地",2.9,4,75条点评
遵义会议旧址,,临颍,,2.9,,
郑州商城国家考古遗址公园,,郑州,"出土珍贵罕见的商代铜方鼎, 历史建筑",2.9,4.6,176条点评
雁鸣湖恐龙谷凌云温泉,,中牟,"雁鸣湖畔江南田园风情温泉, 遛娃宝藏地",2.8,4.6,273条点评
灯台架景区,4A,舞钢,"主峰酷似古代灯台, 遛娃宝藏地",2.8,3.9,167条点评
驻马店白云山风景区,,泌阳,"以高峰、罕奇的传说而闻名, 登高爬山",2.8,4,49条点评
河南艺术中心,,郑州,"外形奇特的建筑风格, 场馆展馆",2.9,4.6,184条点评
河南艺术中心,,郑州,"外形奇特的建筑风格, 场馆展馆",2.9,4.6,184条点评
从政坊游园,,洛阳,夜游观景,2.8,4,39条点评
孔雀岛露营,,信阳,夜游观景,2.8,4.5,2条点评
冰雪大世界,,伊川,,2.9,,
沁龙峡风景区,,济源,,2.8,4.3,4条点评
书册崖,,登封,,2.8,5,3条点评
德化美食街,,郑州,城市漫步,2.8,4.2,22条点评
关帝庙,,新乡,历史建筑,2.8,5,1条点评
郑州龙湖公园,,郑州,公园&植物园,2.8,5,4条点评
洛阳市奥林匹克中心,,洛阳,地标观景,2.8,,
大别山露营公园,4A,新县,户外设施多，适合登山露营,2.8,4.1,10条点评
大别山露营公园,4A,新县,户外设施多，适合登山露营,2.8,4.1,10条点评
中原绿色庄园景区,,濮阳,"看林木葱郁，观精彩杂技, 遛娃宝藏地",2.8,4.8,118条点评
云锦温泉,,许昌,"艺术气息浓郁的园林设计, 遛娃宝藏地",2.8,5,32条点评
罗山县何家冲景区,4A,罗山,"瞻仰红二十五军革命纪念地, 历史建筑",2.8,5,7条点评
二里头遗址,,洛阳,"夏朝都城遗址，依山临河, 历史建筑",2.8,4.5,17条点评
海豚乐园,,郑州,"看海豚凌空跳跃、高空顶球, 亲近动物",2.8,4.2,614条点评
平顶山博物馆,4A,平顶山,"形似竹简，造型雄浑大气, 博物馆&展馆",2.8,4.5,49条点评
唐三彩博物馆,,洛阳,博物馆&展馆,2.8,4.6,10条点评
瓷器博物馆,,社旗,博物馆&展馆,2.8,5,522条点评
王员外家,,开封,,2.9,4.9,15条点评
月季园,4A,洛阳,园林花园,2.8,4.8,6条点评
月季园,,洛阳,园林花园,2.8,4.8,6条点评
嵩杨索道,,登封,缆车索道,2.8,,
新乡人民公园海洋馆,,新乡,"采用先进技术展示海底奇观, 亲近动物",2.8,4.5,48条点评
燧皇陵,,商丘,,2.8,4.2,25条点评
风起洛阳VR全感剧场(龙门古街店),,洛阳,,2.8,5,2条点评
青要山,4A,新安,"植被繁茂、环境清幽, 登高爬山",2.8,4.2,90条点评
安阳殷墟国家考古遗址公园,,安阳,,2.8,5,1条点评
七十二潭,4A,方城,"石川地质奇观犹如银河, 登高爬山",2.8,4.3,197条点评
黄河小浪底鹰嘴山风景区,,新安,登高爬山,2.8,4.4,5条点评
龙卧岩,4A,卫辉,登高爬山,2.8,5,3条点评
鱼鳞坝,4A,辉县,"始建于唐朝的道教圣地, 历史建筑",2.8,5,1条点评
鱼鳞坝,,辉县,,2.8,5,1条点评
阳台宫,,济源,"始建于唐朝的道教圣地, 历史建筑",2.8,4.3,49条点评
老爷顶,,辉县,"号称太行第一峰, 登高爬山",2.8,4.8,4条点评
僖山景区,,永城,登高爬山,2.8,4.2,5条点评
梁祝故里,,汝南,"听梁祝传说，观故事遗址, 历史建筑",2.8,5,36条点评
周口市博物馆,,周口,博物馆&展馆,2.8,3.3,3条点评
商丘黄河故道国家森林公园,,商丘,"公园内有蒙县故城遗址, 自然山水",2.8,4,34条点评
三苏祠,,郏县,,2.8,5,1条点评
中原二龙山风景区,4A,内乡,"风光旖旎、人杰地灵, 登高爬山",2.8,3.9,12条点评
物雅几何美术馆,,郑州,博物馆&展馆,2.8,,
云溪谷景区,4A,修武,夜游观景,2.8,5,1条点评
云溪谷景区,,修武,夜游观景,2.8,5,1条点评
会善寺,,登封,历史建筑,2.8,4,27条点评
河南南水北调博物馆(嵩山路馆),,郑州,"馆藏精美的青铜玉器, 博物馆&展馆",2.8,4.4,182条点评
洛阳国花园,,洛阳,"大型牡丹观赏园, 园林花园",2.8,4.6,49条点评
抱犊,,陵川,"多石头建筑，在悬崖峭壁上, 古镇古村",2.8,5,12条点评
奥特曼冰封剧场,,中牟,,2.8,,
南阳唐王府博物馆,,南阳,博物馆&展馆,2.7,5,9条点评
灵泉峡,,卫辉,"峡谷幽静，清代民居尚存, 登高爬山",2.8,4.3,22条点评
《弘道之行——孔子周游列国》展,,郑州,,2.8,,
白龟湖国家湿地公园,4A,平顶山,夜游观景,2.8,4.6,8条点评
新乡市人民公园,,新乡,"面积大且绿化率高, 公园&植物园",2.8,4.6,101条点评
新乡市人民公园,,新乡,"面积大且绿化率高, 公园&植物园",2.8,4.6,101条点评
圆觉寺,,叶县,历史建筑,2.8,4.3,5条点评
图片展,,巩义,,2.8,,
五龙山响水河水上乐园,,辉县,"在炎炎夏日中感受水的清凉, 遛娃宝藏地",2.8,3.9,140条点评
平顶山海洋馆,,平顶山,动物园&水族馆,2.7,5,22条点评
习氏宗祠,,邓州,宗祠里苍松翠柏，四季怡人,2.7,4.7,8条点评
西河湾,,新县,历史建筑,2.7,4,1条点评
网络安全科技馆,,郑州,展馆展览,2.8,4.7,56条点评
周王城广场,,洛阳,"观赏“天子驾六”雕塑, 地标观景",2.7,4.4,120条点评
柏尖山风景区,,林州,"山峰突兀超群还落有古刹, 登高爬山",2.7,5,5条点评
五龙山游乐园,4A,辉县,"依山而建，项目多样又刺激, 遛娃宝藏地",2.7,3.5,87条点评
五龙山游乐园,,辉县,"依山而建，项目多样又刺激, 遛娃宝藏地",2.7,3.5,87条点评
濮阳市中心动物园,,濮阳,动物园&水族馆,2.7,3.4,7条点评
汴京公园,,开封,"赏花游乐的市民休闲地, 遛娃宝藏地",2.7,4.7,100条点评
嵩山风景名胜区-峻极峰,,登封,"置身峰顶可一览嵩山美景, 登高爬山",2.7,4.8,68条点评
鸡公山依云森林温泉,,信阳,"青山绿水间露天温泉, 泡温泉",2.7,3.7,47条点评
郑州市科技馆,,郑州,"为孩子科普青春期知识, 科技馆",2.7,4.6,201条点评
普济寺,,开封,历史建筑,2.7,5,3条点评
酋长之家,,新密,,2.7,2.3,3条点评
五岩山景区,4A,鹤壁,登高爬山,2.7,4.4,79条点评
中国钧瓷文化园,4A,禹州,,2.7,4,2条点评
淇河,,淇县,夜游观景,2.7,5,1条点评
淇河,,淇县,夜游观景,2.7,5,1条点评
太行平湖(南谷洞水库),,林州,"红旗渠补源工程, 地标观景",2.7,5,4条点评
宋国故城,,商丘,历史建筑,2.7,5,8条点评
田铺大湾,,新县,,2.7,5,1条点评
鲲梦星海主题乐园,,郑州,主题乐园&游乐场,2.7,,
大浪淘沙(金水路店),,郑州,,2.7,5,1条点评
郑州新世界国漫文化博览会,,郑州,,2.8,,
偃师商城遗址,,洛阳,历史建筑,2.7,3.7,24条点评
新密神仙洞,,新密,"曲径通幽钟乳石造型各异, 自然山水",2.7,4.3,233条点评
嵖岈山温泉小镇薰衣草文化园,,遂平,被称为中原薰衣草之乡,2.7,4.8,44条点评
上阳宫文化园,4A,洛阳,"了解洛阳丰富的历史文化, 夜游观景",2.7,4.6,12条点评
上阳宫文化园,,洛阳,"了解洛阳丰富的历史文化, 夜游观景",2.7,4.6,12条点评
邙山,,新安,登高爬山,2.7,4.3,4条点评
万安山七彩大峡谷,,洛阳,"岩石色彩斑斓，景色秀丽, 自然山水",2.7,3.3,39条点评
南街村观光园,,临颍,,2.7,4.7,6条点评
跑马岭,4A,卫辉,"独有的山顶万亩草原, 草原采风",2.7,4,70条点评
开封西湖,,开封,"衔接新老汴京城区的风景带, 自然山水",2.7,4.8,27条点评
西华县女娲城景区,,西华,"女娲文化为主的观光之地, 历史建筑",2.7,4.5,45条点评
彰德府城隍庙,,安阳,历史建筑,2.7,4.8,35条点评
金明池遗址,,开封,"曾是北宋重要的皇家园林, 园林花园",2.7,4.8,52条点评
怀府恐龙园,,沁阳,主题乐园&游乐场,2.7,5,1条点评
万里茶道博物馆,4A,洛阳,博物馆&展馆,2.7,4.8,9条点评
万里茶道博物馆,,洛阳,博物馆&展馆,2.7,4.8,9条点评
云台明月焰,,修武,夜游观景,2.6,3.4,5条点评
河洛汇流,,巩义,自然山水,2.7,4.3,14条点评
泰国佛殿苑,,洛阳,历史建筑,2.7,4.5,24条点评
黛眉山景区,4A,新安,"黄河三面环绕的地质公园, 登高爬山",2.6,4.1,180条点评
云露山景区,4A,内乡,"体验垂钓采摘的乐趣, 登高爬山",2.7,4.1,69条点评
小沟背风景区,4A,济源,自然山水,2.7,3.8,179条点评
洛阳明堂景区(应天门店),,洛阳,夜游观景,2.7,5,1条点评
兴艺坊-唐宫御宴,,洛阳,近三年新开,2.7,,
项城市南顿故城景区,,项城,"跨越多个时代的历史文物群, 历史建筑",2.6,4.1,33条点评
瓦岗寨,4A,滑县,"中国盘古文化的起源地, 登高爬山",2.7,2.8,13条点评
瓦岗寨,,滑县,,2.7,2.8,13条点评
殷墟宫殿宗庙遗址殷墟妇好墓,,安阳,,2.7,5,1条点评
盘古山景区,,泌阳,"中国盘古文化的起源地, 登高爬山",2.6,3.7,18条点评
迪尼斯乐园,,浚县,,2.6,,
隋唐洛阳城遗址,,洛阳,历史建筑,2.6,,
龙亭大殿,,开封,历史建筑,2.6,5,1条点评
玄奘故里,,洛阳,历史建筑,2.6,4.3,18条点评
铜山风景名胜区,4A,泌阳,"河南的植物标本库, 登高爬山",2.6,4.3,46条点评
王城公园-精品牡丹园,,洛阳,,2.6,,
喷空剧场-尚座中心店,,郑州,,2.6,5,4条点评
鲁班天梯,4A,林州,"藏有1000多块唐代墓志, 博物馆&展馆",2.6,3.6,33条点评
鲁班天梯,,林州,,2.6,,
新安县千唐志斋博物馆,4A,新安,"藏有1000多块唐代墓志, 博物馆&展馆",2.6,3.6,33条点评
应天门北广场,,洛阳,夜游观景,2.6,5,1条点评
寺山国家森林公园,4A,西峡,"观赏茂密山林和寺庙古迹, 登高爬山",2.6,3.7,50条点评
朱樱塔,,洛阳,,2.6,5,1条点评
画眉谷,4A,鲁山,"因画眉鸟在此栖息而得名, 自然山水",2.6,3.5,191条点评
金龙寺,,洛阳,历史建筑,2.6,4.7,5条点评
殷墟宫殿宗庙遗址-甲骨窖穴,,安阳,历史建筑,2.6,4.7,35条点评
安阳古城,,安阳,夜游观景,2.6,5,1条点评
小浪底水库,,新安,,2.6,,
郑州东站西广场-北下沉广场,4A,郑州,历史建筑,2.6,4.8,4条点评
郑州东站西广场-北下沉广场,,郑州,,2.6,4.8,4条点评
洛阳文峰塔,,洛阳,历史建筑,2.6,4.6,15条点评
河南数字文旅,,郑州,,2.6,,
灵宝娘娘山景区,4A,灵宝,"体验刺激的皮筏漂流, 登高爬山",2.6,4.2,95条点评
神都十三坊,,洛阳,,2.6,5,1条点评
济渎庙,,济源,"古建筑群落，布局呈甲字形, 历史建筑",2.6,4.4,151条点评
独山森林公园,,南阳,自然山水,2.6,2.9,47条点评
郑州之眼摩天轮,,中牟,地标观景,2.6,5,1条点评
小商桥,4A,临颍,"沟通南北的要冲, 历史建筑",2.6,4.3,81条点评
洛阳真不同博物馆,,洛阳,"中国第一个关于饮食的专题性博物馆, 博物馆&展馆",2.6,4.6,32条点评
贾湖遗址博物馆,4A,舞阳,博物馆&展馆,2.6,5,1条点评
贾湖遗址博物馆,4A,舞阳,博物馆&展馆,2.6,5,1条点评
董寨国家级自然保护区,,罗山,自然山水,2.6,5,3条点评
漯河海洋馆,,漯河,动物园&水族馆,2.6,3.9,19条点评
圆融寺,4A,修武,"群山环抱的千年古刹, 历史建筑",2.6,4.4,49条点评
幻城剧场,,中牟,,2.6,5,2条点评
芒砀山旅游区刘邦斩蛇处,,永城,地标观景,2.6,3.5,4条点评
信阳鸡公山平汉铁路老火车,,信阳,,2.6,3.7,12条点评
龙门石窟旅游年票专用通道,,洛阳,,2.6,,
禅宗少林音乐大典-A区,,登封,,2.6,,
宾阳洞区,,洛阳,"西山石窟内的北魏时期洞窟, 历史建筑",2.6,4.6,49条点评
吾悦广场,,南阳,历史建筑,2.6,5,1条点评
吾悦广场,,南阳,,2.6,5,1条点评
潜龙宫,,开封,历史建筑,2.6,4.5,37条点评
鹤壁市李家大院,,鹤壁,历史建筑,2.6,5,1条点评
鸡冠洞风景名胜区-溶洞,,栾川,,2.6,,
仙台山,,林州,"四季景色各异的奇峰, 遛娃宝藏地",2.6,4.4,73条点评
郑州商代遗址,,郑州,历史建筑,2.6,4,12条点评
八路军驻洛办事处纪念馆,,洛阳,旧址原为清代庄家大院,2.6,,40条点评
白沙湖,,登封,,2.6,4.5,16条点评
河南省夜间文旅消费集聚区,,虞城,,2.6,,
浮戏山雪花洞景区,,巩义,"洞内灯光炫彩钟乳石奇特, 登高爬山",2.6,4,379条点评
洛阳第11届龙门动漫展,,洛阳,公园&植物园,2.6,4.9,24条点评
洛阳第11届龙门动漫展,,洛阳,,2.6,,
郑州龙子湖公园,,郑州,公园&植物园,2.6,4.9,24条点评
陈桥驿,,封丘,历史建筑,2.6,5,20条点评
千瀑沟,,林州,"雨落时，宛如千瀑倾泻而下, 自然山水",2.6,3.7,9条点评
李商隐公园,,荥阳,"中国传统园林风格, 公园&植物园",2.5,4.7,20条点评
老君山金顶天宫剧场,,栾川,,2.6,,
天柱沟景区,,辉县,,2.6,5,1条点评
华阳国际饭店·淘气堡儿童乐园,,洛阳,主题乐园&游乐场,2.6,,
《下一站火星》未来视界XR沉浸式探索中心展 郑东万象城店,,郑州,,2.6,,
老子文化苑,,栾川,"圣像矗立山间，道家文化浓, 历史建筑",2.6,5,4条点评
汝州市汝瓷博物馆,,汝州,"陈列古今汝瓷，藏品丰富, 博物馆&展馆",2.6,4.5,13条点评
汝州市汝瓷博物馆,,汝州,"陈列古今汝瓷，藏品丰富, 博物馆&展馆",2.6,4.5,13条点评
汝州文庙,,汝州,"单檐硬山式建筑，保存完好, 历史建筑",2.6,4.7,10条点评
海上桥村,,巩义,古镇古村,2.6,4.4,7条点评
黑山头,,鹤壁,,2.6,,
商丘梁园,,商丘,"始建于西汉的大型皇家园林, 园林花园",2.6,4.2,50条点评
伏牛山主峰,,栾川,登高爬山,2.6,4.3,7条点评
山西抱犊山庄,,陵川,,2.6,,
虹桥,,开封,"网红打卡拍照地, 地标观景",2.6,5,1条点评
包公府,,开封,,2.6,5,1条点评
双龙巷历史文化街区,,开封,夜游观景,2.6,5,1条点评
三门峡中流砥柱景区,4A,三门峡,滑翔伞,2.6,4.5,2条点评
三门峡中流砥柱景区,4A,三门峡,,2.6,4.5,2条点评
林虑山国际滑翔基地,,林州,滑翔伞,2.6,4.8,33条点评
郑州市动物园-动物王国,,郑州,"观看可爱的小动物, 动物园&水族馆",2.5,4.2,30条点评
云溪夜游,,修武,夜游观景,2.6,4,1条点评
祥龙岛,,漯河,,2.5,,
郑州大剧院,,郑州,演出,2.5,5,3条点评
司马光故居,,光山,,2.5,2,1条点评
郑州之林,,郑州,,2.5,4.5,17条点评
贾鲁水镇,,郑州,夜游观景,2.5,1.3,3条点评
袁世凯墓,,安阳,,2.5,4.3,6条点评
神灵寨风景区,4A,洛宁,"奇特的石瀑和象形石, 自然山水",2.5,4.3,192条点评
神灵寨风景区,4A,洛宁,"奇特的石瀑和象形石, 自然山水",2.5,4.3,192条点评
国际玉城,,镇平,,2.6,5,2条点评
商水县邓城叶氏庄园,4A,商水,"四合院式的清代民间庄园, 历史建筑",2.5,4.3,41条点评
环翠峪风景名胜区,,荥阳,"有机会看到可爱的太行猕猴, 自然山水",2.5,4.2,214条点评
纣王墓,,淇县,"清静素雅、风景宜人, 历史建筑",2.5,4.6,14条点评
京华园,4A,新乡县,"领略民族风情的人工景区, 夜游观景",2.5,4.1,70条点评
南阳医圣文化园,,南阳,夜游观景,2.5,4.8,10条点评
包公司法文化博物馆,,开封,博物馆&展馆,2.5,5,1条点评
红了樱桃妆造馆,,洛阳,,2.5,,
永宁寺遗址,,洛阳,历史建筑,2.5,3.4,9条点评
洛河水上游船,4A,洛阳,遛娃宝藏地,2.5,4,1条点评
洛河水上游船,,洛阳,,2.5,4,1条点评
潘多拉森林动物王国,,郑州,遛娃宝藏地,2.5,3.3,35条点评
河南省信阳市鄂豫皖革命纪念馆,,信阳,,2.5,,16条点评
西流湖公园生态中心,,郑州,"观赏海棠大道、玉兰大道, 自然山水",2.5,4.6,85条点评
嵩山滑雪场,,登封,"交通便利, 户外滑雪",2.5,3.9,147条点评
巩义博物馆,,巩义,"整体外观为园林式仿古建筑, 博物馆&展馆",2.5,4.8,38条点评
焦作市森林动物园,,焦作,亲近动物,2.5,4.2,26条点评
河南省美术馆,,郑州,特色展馆,2.5,5,4条点评
德云山风情植物园,4A,方城,"花卉品种多，牡丹很惊艳, 植物园",2.5,2.7,20条点评
李斯墓,,上蔡,历史建筑,2.5,3,1条点评
梵高星空艺术馆,,郑州,"供白衣观音的唐宋古寺, 历史建筑",2.5,5,1条点评
梵高星空艺术馆,,郑州,,2.5,5,1条点评
凤凰岭-玻璃栈道,,修武,,2.5,4.5,2条点评
太行阁,,林州,,2.5,,
袁世凯行宫,,项城,,2.5,,
古观音寺,,开封,"供白衣观音的唐宋古寺, 历史建筑",2.5,4.6,34条点评
南石山三彩小镇,,洛阳,地标观景,2.5,,
鸡公山风景区19号别墅,,信阳,,2.5,,
登封赏银杏,,登封,,2.5,,
蒋宋别墅,,洛阳,"背靠青山，奢华骑楼式建筑, 历史建筑",2.5,4.7,34条点评
五百罗汉殿,,开封,"大相国寺中五百罗汉像, 历史建筑",2.5,5,29条点评
定国湖,4A,新乡,自然山水,2.5,5,1条点评
定国湖,,新乡,自然山水,2.5,5,1条点评
龙隐谷,,新安,,2.5,,
郑州 · 高杨、张会芳主演·外百老汇经典音乐剧《长腿叔叔》中文版,,郑州,演出,2.5,,
淇县朝阳山景区,4A,淇县,"以殷商文化为主要特色, 登高爬山",2.5,4.3,6条点评
信阳何家寨露营基地,,信阳,,2.5,,
苏妲己之墓,,淇县,,2.5,,
淇河谷景区,,鹤壁,"古木参天，有别致石制古宅, 遛娃宝藏地",2.5,4.1,44条点评
永定陵,,巩义,"宋真宗赵恒陵墓,保存较好, 历史建筑",2.5,3.8,10条点评
开封极地海洋世界,,开封,"欣赏海洋生物观看表演, 亲近动物",2.5,3.5,557条点评
红旗渠青年洞-观景台,,林州,,2.5,4,1条点评
登封历史博物馆,,登封,"具有典型的地方建筑风格, 博物馆&展馆",2.5,4.8,37条点评
登封历史博物馆,,登封,"具有典型的地方建筑风格, 博物馆&展馆",2.5,4.8,37条点评
陈家沟太极拳文化旅游区,,温县,,2.5,,
洛阳美术馆,,洛阳,特色展馆,2.5,4.4,19条点评
许州府衙,,许昌,历史建筑,2.5,4.3,5条点评
焦作赏红叶,,博爱,,2.5,,
南召九龙瀑布群,,南召,"欣赏壮观的瀑布景色, 自然山水",2.5,4,7条点评
南阳卢园,,南阳,自然山水,2.5,4.5,17条点评
猪叫石风景区,,林州,自然山水,2.5,3.6,5条点评
郑州 · 梅花奖·白玉兰奖得主李佩红领衔主演《穆桂英再挂帅》沉浸式XR戏曲,,郑州,演出,2.5,,
幻境空间悬空玻璃剧场,,郑州,特色展馆,2.5,4.4,5条点评
殷墟甲骨文碑林,,安阳,历史建筑,2.5,4.7,63条点评
殷墟甲骨文碑林,,安阳,历史建筑,2.5,4.7,63条点评
奉先寺,,洛阳,历史建筑,2.5,4.7,11条点评
魏坡新序,,洛阳,夜游观景,2.5,3.8,8条点评
将军柏,,登封,"观赏古老的柏树, 自然山水",2.5,4.6,83条点评
何家寨,,信阳,,2.5,,
白云山森林氧吧游览区,,嵩县,自然山水,2.5,3,2条点评
黄河之巅,,郑州,"近两年新开, 随买随用",2.5,,
淇河国家湿地公园,,淇县,,2.5,4,3条点评
永昌陵遗址生态文化公园,,巩义,北宋开国皇帝陵墓,2.5,3,8条点评
河南壁画馆,,洛阳,博物馆&展馆,2.4,5,6条点评
浉河港镇,4A,信阳,地标观景,2.5,3.6,32条点评
浉河港镇,,信阳,地标观景,2.5,,
安山森林公园,,固始,风光旖旎，历史文化浓厚,2.4,3.6,32条点评
白马寺,,博爱,,2.5,,
王城公园-西门售票处,,洛阳,,2.5,,
万善寺,,修武,"游人如织、香火旺盛, 历史建筑",2.5,4.4,62条点评
天下第一塔,,开封,,2.5,,
